titles,genres
Dagon,"['Fantasy', 'Horror', 'Mystery']"
Dr. Wai in the Scriptures with No Words,"['Action', 'Adventure']"
Imaginaerum,"['Drama', 'Fantasy', 'Musical']"
Star Trek III: The Search for Spock,"['Action', 'Adventure', 'Sci-Fi']"
Woman on Top,"['Comedy', 'Fantasy', 'Romance']"
The Memory of a Killer,"['Action', 'Crime', 'Drama']"
Beverly Hills Cop,"['Action', 'Comedy', 'Crime']"
Bodyguards and Assassins,"['Action', 'Drama', 'History']"
K-9: P.I.,"['Action', 'Comedy', 'Crime']"
Kick-Heart,"['Animation', 'Short', 'Action']"
Escape,"['Action', 'History', 'Thriller']"
Sahara,"['Action', 'Adventure', 'Comedy']"
Saamy,"['Action', 'Drama', 'Musical']"
Police Story 2,"['Action', 'Comedy', 'Crime']"
Scanners II: The New Order,"['Action', 'Horror', 'Sci-Fi']"
